site,theme,subtheme,id,title,data_as_of,data_source,link_csv,link_parquet,has_editions,description
data.gov.my,Public Administration,Public Finance,federal_finance_year,Annual Federal Government Finance,2023,JANM,https://storage.data.gov.my/publicadmin/federal_finance_year.csv,https://storage.data.gov.my/publicadmin/federal_finance_year.parquet,no,"Annual revenue, operating and development expenditure, overall surplus/deficit, and sources of financing for the Federal Government of Malaysia."
data.gov.my,Public Administration,Public Finance,federal_finance_year_revenue,Annual Federal Government Revenue,2023,JANM,https://storage.data.gov.my/publicadmin/federal_finance_year_revenue.csv,https://storage.data.gov.my/publicadmin/federal_finance_year_revenue.parquet,no,"Annual Federal Government revenue from direct taxes, indirect taxes, non-tax sources, as well as non-revenue receipts."
data.gov.my,Public Administration,Public Finance,federal_finance_year_oe,Annual Federal Government Operating Expenditure by Object,2023,JANM,https://storage.data.gov.my/publicadmin/federal_finance_year_oe.csv,https://storage.data.gov.my/publicadmin/federal_finance_year_oe.parquet,no,Breakdown of annual Federal Government operating expenditure into key categories.
data.gov.my,Public Administration,Public Finance,federal_finance_year_de,Annual Federal Government Development Expenditure by Function,2023,JANM,https://storage.data.gov.my/publicadmin/federal_finance_year_de.csv,https://storage.data.gov.my/publicadmin/federal_finance_year_de.parquet,no,Breakdown of annual Federal Government development expenditure by key sectors describing the area of impact of development projects.
data.gov.my,Public Administration,Public Finance,state_finance_expenditure,State Government Expenditure,2022,AUDIT,https://storage.data.gov.my/publicadmin/state_finance_expenditure.csv,https://storage.data.gov.my/publicadmin/state_finance_expenditure.parquet,no,"Annual data on state government expenditure across various categories, including development expenditure (DE) and operating expenditure (OE)."
data.gov.my,Public Administration,Public Finance,state_finance_revenue,State Government Revenue,2022,AUDIT,https://storage.data.gov.my/publicadmin/state_finance_revenue.csv,https://storage.data.gov.my/publicadmin/state_finance_revenue.parquet,no,"Annual data on state government revenue by source, covering tax, non-tax, and non-revenue receipts."
data.gov.my,Public Administration,Public Finance,federal_budget_moe,Annual Budget Allocation for the Ministry of Education,2022,MOF,https://storage.data.gov.my/publicadmin/budget_allocation_moe.csv,https://storage.data.gov.my/publicadmin/budget_allocation_moe.parquet,no,"Annual federal budget allocated to the Ministry of Education (B/P.63) with a breakdown by expenditure categories, including development expenditure (DE) and operating expenditure (OE)."
data.gov.my,Public Administration,Public Finance,federal_budget_moh,Annual Budget Allocation for the Ministry of Health,2022,MOF,https://storage.data.gov.my/publicadmin/budget_allocation_moh.csv,https://storage.data.gov.my/publicadmin/budget_allocation_moh.parquet,no,"Annual federal budget allocated to the Ministry of Health (B/P.42) with a breakdown by expenditure categories, including development expenditure (DE) and operating expenditure (OE)."
data.gov.my,Public Administration,Public Service,parliament_sex,Female Representation in Parliament,2022,Parlimen,https://storage.data.gov.my/publicadmin/parliament_sex.csv,https://storage.data.gov.my/publicadmin/parliament_sex.parquet,no,"Proportion of women and men in Malaysian Parliament, covering both the House of Representatives (Dewan Rakyat) and the Senate (Dewan Negara)."
data.gov.my,Public Administration,Public Service,local_authority_sex,Female Representation in Local Authorities,2022,KPKT,https://storage.data.gov.my/publicadmin/local_authority_sex.csv,https://storage.data.gov.my/publicadmin/local_authority_sex.parquet,no,Proportion of women and men in Malaysian local authorities.
data.gov.my,Public Administration,Digital Services,government_apps,Transactional Data: Official Government Mobile Applications,2026-04-21 23:59,JDN; KD,https://storage.data.gov.my/publicadmin/government_apps.csv,https://storage.data.gov.my/publicadmin/government_apps.parquet,no,"List of official government mobile applications registered with GAMMA, including their names, platforms, date of publication and purpose."
data.gov.my,Public Administration,Digital Services,government_apps_reviews,Transactional Data: User Reviews of Government Mobile Applications,2026-04-21 23:59,JDN; KD,https://storage.data.gov.my/publicadmin/government_apps_reviews.csv,https://storage.data.gov.my/publicadmin/government_apps_reviews.parquet,no,Transactional data on the user reviews of government mobile applications
data.gov.my,Public Administration,Digital Services,government_apps_active,Number of Active Government Mobile Applications,2026-04-21 23:59,JDN; KD,https://storage.data.gov.my/publicadmin/government_apps_active.csv,https://storage.data.gov.my/publicadmin/government_apps_active.parquet,no,"Monthly data on the number of active government mobile applications, including data on the number of apps published and shut down."
data.gov.my,Public Administration,Digital Services,government_apps_downloads,Downloads of Government Mobile Applications,2026-04-21 23:59,JDN; KD,https://storage.data.gov.my/publicadmin/government_apps_downloads.csv,https://storage.data.gov.my/publicadmin/government_apps_downloads.parquet,no,"Download statistics for official government mobile applications across different platforms (Android, Huawei, iOS), including platform-specific counts."
data.gov.my,Public Administration,Digital Infrastructure,domains,Number of Registered .MY Domains,2025-01,MYNIC; KD,https://storage.data.gov.my/publicadmin/domains.csv,https://storage.data.gov.my/publicadmin/domains.parquet,no,Number of .MY domains registered with MYNIC Berhad.
data.gov.my,Public Administration,Digital Infrastructure,domains_ipv6,Number of Registered .MY Domains with IPv6 DNS,2025-01,MYNIC; KD,https://storage.data.gov.my/publicadmin/domains_ipv6.csv,https://storage.data.gov.my/publicadmin/domains_ipv6.parquet,no,Number of .MY domains with IPv6 DNS registered with MYNIC Berhad.
data.gov.my,Public Administration,Digital Infrastructure,domains_dnssec,Number of Registered .MY Domains with DNSSEC,2025-01,MYNIC; KD,https://storage.data.gov.my/publicadmin/domains_dnssec.csv,https://storage.data.gov.my/publicadmin/domains_dnssec.parquet,no,Number of .MY domains with DNSSEC registered with MYNIC Berhad.
data.gov.my,Public Administration,Digital Infrastructure,domains_idn,Number of Registered Internationalised .MY Domains,2025-01,MYNIC; KD,https://storage.data.gov.my/publicadmin/domains_idn.csv,https://storage.data.gov.my/publicadmin/domains_idn.parquet,no,Number of internationalised .MY domains registered with MYNIC Berhad.
data.gov.my,Economic Sectors,Services,iowrt,Headline Wholesale & Retail Trade,2026-06,DOSM,https://storage.dosm.gov.my/iowrt/iowrt.csv,https://storage.dosm.gov.my/iowrt/iowrt.parquet,no,"Overall performance of the wholesale & retail trade subsectors, covering sales value and volume."
data.gov.my,Economic Sectors,Services,iowrt_2d,Wholesale & Retail Trade by Division (2 digit),2026-06,DOSM,https://storage.dosm.gov.my/iowrt/iowrt_2d.csv,https://storage.dosm.gov.my/iowrt/iowrt_2d.parquet,no,"Performance of the wholesale & retail trade subsectors by MSIC division (2 digit), covering sales value and volume."
data.gov.my,Economic Sectors,Services,iowrt_3d,Wholesale & Retail Trade by Group (3 digit),2026-06,DOSM,https://storage.dosm.gov.my/iowrt/iowrt_3d.csv,https://storage.dosm.gov.my/iowrt/iowrt_3d.parquet,no,"Performance of the wholesale & retail trade subsectors by MSIC group (3 digit), covering sales value and volume. The table provides a preview of the full dataset using the latest month of data only."
data.gov.my,Economic Sectors,Manufacturing,ipi,Industrial Production Index (IPI),2026-05,DOSM,https://storage.dosm.gov.my/ipi/ipi.csv,https://storage.dosm.gov.my/ipi/ipi.parquet,no,"Real output of the three main industrial sectors, namely mining, manufacturing and electricity."
data.gov.my,Economic Sectors,Manufacturing,ipi_1d,IPI by Section (1 digit),2026-05,DOSM,https://storage.dosm.gov.my/ipi/ipi_1d.csv,https://storage.dosm.gov.my/ipi/ipi_1d.parquet,no,Real output of the three main industrial sectors by MSIC section (1 digit).
data.gov.my,Economic Sectors,Manufacturing,ipi_2d,IPI by Division (2 digit),2026-05,DOSM,https://storage.dosm.gov.my/ipi/ipi_2d.csv,https://storage.dosm.gov.my/ipi/ipi_2d.parquet,no,Real output of the three main industrial sectors by MSIC division (2 digit). The table provides a preview of the full dataset using the latest month of data only.
