state,year,indicator,value,source,precision
Melaka,2020,avg_length_of_stay_nights,1.8018,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Melaka,2021,avg_length_of_stay_nights,1.8643,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Melaka,2022,avg_length_of_stay_nights,2.1384,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Melaka,2023,avg_length_of_stay_nights,2.234,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Melaka,2024,avg_length_of_stay_nights,2.13,DTS 2024 state PDF (Table 1),as printed
Melaka,2025,domestic_visitors_thousand,20832.0,DTS 2025 Malaysia PDF (Table 9),as printed
Negeri Sembilan,2017,total_receipts_rm_million,4382.3264,DTS 2023 state XLSX (Table 1),exact
Negeri Sembilan,2018,total_receipts_rm_million,4830.0489,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Negeri Sembilan,2019,total_receipts_rm_million,5071.0304,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Negeri Sembilan,2020,total_receipts_rm_million,2232.9801,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Negeri Sembilan,2021,total_receipts_rm_million,1213.3851,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Negeri Sembilan,2022,total_receipts_rm_million,3651.3406,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Negeri Sembilan,2023,total_receipts_rm_million,4777.2813,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Negeri Sembilan,2024,total_receipts_rm_million,5869.0,DTS 2024 state PDF (Table 1),as printed
Negeri Sembilan,2017,domestic_visitors_thousand,10822.3206,DTS 2023 state XLSX (Table 1),exact
Negeri Sembilan,2018,domestic_visitors_thousand,12802.1189,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Negeri Sembilan,2019,domestic_visitors_thousand,13303.0418,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Negeri Sembilan,2020,domestic_visitors_thousand,7917.736,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Negeri Sembilan,2021,domestic_visitors_thousand,5485.17,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Negeri Sembilan,2022,domestic_visitors_thousand,11490.144,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Negeri Sembilan,2023,domestic_visitors_thousand,14959.47,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Negeri Sembilan,2024,domestic_visitors_thousand,17785.0,DTS 2024 state PDF (Table 1),as printed
Negeri Sembilan,2017,domestic_trips_thousand,13832.278,DTS 2023 state XLSX (Table 1),exact
