state,year,indicator,value
Perlis,2024,avg_receipts_per_trip_rm,274.0
Perlis,2018,avg_length_of_stay_nights,2.32
Perlis,2019,avg_length_of_stay_nights,2.55
Perlis,2020,avg_length_of_stay_nights,2.45
Perlis,2021,avg_length_of_stay_nights,2.21
Perlis,2022,avg_length_of_stay_nights,2.35
Perlis,2023,avg_length_of_stay_nights,2.21
Perlis,2024,avg_length_of_stay_nights,2.49
Pulau Pinang,2018,total_receipts_rm_million,6165.0
Pulau Pinang,2019,total_receipts_rm_million,6654.0
Pulau Pinang,2020,total_receipts_rm_million,2427.0
Pulau Pinang,2021,total_receipts_rm_million,1159.0
Pulau Pinang,2022,total_receipts_rm_million,3648.0
Pulau Pinang,2023,total_receipts_rm_million,5815.0
Pulau Pinang,2024,total_receipts_rm_million,7424.0
Pulau Pinang,2018,domestic_visitors_thousand,14450.0
Pulau Pinang,2019,domestic_visitors_thousand,15411.0
Pulau Pinang,2020,domestic_visitors_thousand,8930.0
Pulau Pinang,2021,domestic_visitors_thousand,5061.0
Pulau Pinang,2022,domestic_visitors_thousand,10003.0
Pulau Pinang,2023,domestic_visitors_thousand,13128.0
Pulau Pinang,2024,domestic_visitors_thousand,16605.0
Pulau Pinang,2018,domestic_trips_thousand,19370.0
Pulau Pinang,2019,domestic_trips_thousand,21074.0
Pulau Pinang,2020,domestic_trips_thousand,9231.0
Pulau Pinang,2021,domestic_trips_thousand,5160.0
Pulau Pinang,2022,domestic_trips_thousand,11706.0
Pulau Pinang,2023,domestic_trips_thousand,15351.0
Pulau Pinang,2024,domestic_trips_thousand,19160.0
Pulau Pinang,2018,avg_receipts_per_capita_rm,427.0
Pulau Pinang,2019,avg_receipts_per_capita_rm,432.0
Pulau Pinang,2020,avg_receipts_per_capita_rm,272.0
Pulau Pinang,2021,avg_receipts_per_capita_rm,229.0
Pulau Pinang,2022,avg_receipts_per_capita_rm,365.0
Pulau Pinang,2023,avg_receipts_per_capita_rm,443.0
Pulau Pinang,2024,avg_receipts_per_capita_rm,447.0
Pulau Pinang,2018,avg_receipts_per_trip_rm,318.0
Pulau Pinang,2019,avg_receipts_per_trip_rm,316.0
