state,table,field,pdf_parser_value,xlsx_published_value,compared_at_dp,agree
Sabah,table_7,expenditure_by_visitors:receipts,6362023.0,6362022.67717255,0,True
Sabah,table_7,expenditure_by_visitors:share,94.8,94.7785301193063,1,True
Sabah,table_7,shopping:receipts,2461886.0,2461885.56074914,0,True
Sabah,table_7,shopping:share,36.7,36.6760551808418,1,True
Sabah,table_7,automotive_fuel:receipts,798981.0,798980.854136689,0,True
Sabah,table_7,automotive_fuel:share,11.9,11.9028546094711,1,True
Sabah,table_7,transportation:receipts,547792.0,547792.252266946,0,True
Sabah,table_7,transportation:share,8.2,8.16076067551515,1,True
Sabah,table_7,food_and_beverage:receipts,1093929.0,1093929.17767236,0,True
Sabah,table_7,food_and_beverage:share,16.3,16.2968610417601,1,True
Sabah,table_7,accommodation:receipts,1008654.0,1008653.7045432,0,True
Sabah,table_7,accommodation:share,15.0,15.0264656960456,1,True
Sabah,table_7,pre_trip_package_entrance_tickets:receipts,274259.0,274258.823608274,0,True
Sabah,table_7,pre_trip_package_entrance_tickets:share,4.1,4.08578364033664,1,True
Sabah,table_7,other_activities:receipts,176522.0,176522.304195945,0,True
Sabah,table_7,other_activities:share,2.6,2.62974927533584,1,True
Sabah,table_7,expenditure_by_visited_households:receipts,350492.0,350491.928365324,0,True
Sabah,table_7,expenditure_by_visited_households:share,5.2,5.22146988069367,1,True
Sabah,table_7,total_receipts:receipts,6712515.0,6712514.60553788,0,True
Sabah,table_7,total_receipts:share,100.0,100,1,True
Sabah,table_13_income,"≤RM1,000",2.6,2.6,1,True
Sabah,table_13_income,"RM1,001-3,000",38.6,38.6,1,True
Sabah,table_13_income,"RM3,001-5,000",28.7,28.7,1,True
Sabah,table_13_income,"RM5,001-10,000",22.3,22.3,1,True
Sabah,table_13_income,"≥RM10,001",7.8,7.8,1,True
Sabah,table_12_accom,relatives_friends_house,55.9,55.9073442785988,1,True
Sabah,table_12_accom,hotel,20.3,20.2910212205007,1,True
Sabah,table_12_accom,chalet,7.7,7.69079656037366,1,True
Sabah,table_12_accom,apartment,3.6,3.62905391085541,1,True
Sabah,table_12_accom,homestay_vacation_home,7.6,7.57363527726234,1,True
Sabah,table_12_accom,rest_house,4.9,4.90814875240909,1,True
Sarawak,table_1,total_receipts_rm_million,6943.0,6942.67318117489,0,True
Sarawak,table_1,domestic_visitors_thousand,17901.0,17901.19,0,True
Sarawak,table_1,domestic_trips_thousand,21077.0,21076.631,0,True
Sarawak,table_1,avg_receipts_per_capita_rm,388.0,387.833053622407,0,True
Sarawak,table_1,avg_receipts_per_trip_rm,329.0,329.401467491407,0,True
Sarawak,table_1,avg_length_of_stay_nights,3.48,3.4815000820848,2,True
Sarawak,table_7,expenditure_by_visitors:receipts,6440169.0,6440169.03679111,0,True
Sarawak,table_7,expenditure_by_visitors:share,92.8,92.7620942067917,1,True
Sarawak,table_7,shopping:receipts,2655605.0,2655605.36945717,0,True
Sarawak,table_7,shopping:share,38.3,38.2504735590588,1,True
Sarawak,table_7,automotive_fuel:receipts,989487.0,989486.90130362,0,True
Sarawak,table_7,automotive_fuel:share,14.3,14.2522465840193,1,True
Sarawak,table_7,transportation:receipts,569398.0,569397.90130783,0,True
Sarawak,table_7,transportation:share,8.2,8.20142164910998,1,True
Sarawak,table_7,food_and_beverage:receipts,981635.0,981635.295199864,0,True
Sarawak,table_7,food_and_beverage:share,14.1,14.1391546106704,1,True
Sarawak,table_7,accommodation:receipts,779551.0,779550.52543099,0,True
Sarawak,table_7,accommodation:share,11.2,11.2283915011979,1,True
